hks_t0,hks_t1,hks_t2,hks_t3,hks_t4,hks_t5,hks_t6,hks_t7,hks_t8,hks_t9,hks_t10,hks_t11,hks_t12,hks_t13,hks_t14,hks_t15,hks_t16,hks_t17,hks_t18,hks_t19,hks_t20,hks_t21,hks_t22,hks_t23,hks_t24,hks_t25,hks_t26,hks_t27,hks_t28,hks_t29,hks_t30,hks_t31,target_label
-13.66969,-13.703573,-13.744305,-13.793161,-13.851598,-13.921239,-14.003844,-14.101228,-14.215113,-14.346875,-14.497161,-14.665347,-14.848909,-15.042914,-15.240072,-15.431843,-15.610611,-15.771879,-15.914909,-16.04146,-16.153929,-16.254383,-16.344612,-16.426546,-16.5025,-16.57516,-16.647335,-16.721735,-16.80077,-16.886475,-16.980452,-17.083792,Unsure
-14.840507,-14.865454,-14.895405,-14.931279,-14.974124,-15.025111,-15.08552,-15.156697,-15.239997,-15.336666,-15.4477,-15.573645,-15.714393,-15.869011,-16.035706,-16.212015,-16.395235,-16.582972,-16.773525,-16.96593,-17.159689,-17.354431,-17.549713,-17.745022,-17.939869,-18.133991,-18.327553,-18.52133,-18.71681,-18.916197,-19.122396,-19.339037,Soma
-13.449308,-13.47197,-13.499354,-13.532416,-13.57229,-13.620316,-13.678058,-13.747336,-13.830231,-13.929073,-14.046402,-14.184849,-14.346915,-14.53458,-14.7486315,-14.987656,-15.246734,-15.516257,-15.782056,-16.028427,-16.244051,-16.426954,-16.583818,-16.724525,-16.857176,-16.986462,-17.114279,-17.240755,-17.36498,-17.485449,-17.600254,-17.707144,Spine
-14.472323,-14.485978,-14.502272,-14.52165,-14.544601,-14.571653,-14.603355,-14.640263,-14.682899,-14.731741,-14.787182,-14.84953,-14.9190445,-14.996009,-15.080867,-15.174354,-15.277589,-15.392026,-15.519219,-15.660419,-15.81605,-15.98511,-16.164581,-16.349018,-16.530794,-16.701557,-16.854982,-16.98948,-17.108755,-17.21948,-17.327818,-17.437151,Shaft
-14.16865,-14.195992,-14.228816,-14.268118,-14.315024,-14.370776,-14.436688,-14.514075,-14.60412,-14.70766,-14.824886,-14.954958,-15.09561,-15.242962,-15.391852,-15.536968,-15.674571,-15.803911,-15.92721,-16.048092,-16.169636,-16.293322,-16.419174,-16.546417,-16.67396,-16.800497,-16.924454,-17.04399,-17.15721,-17.262556,-17.359203,-17.44733,Unsure
-14.206541,-14.225452,-14.24799,-14.274744,-14.30635,-14.343465,-14.386736,-14.436738,-14.493902,-14.55842,-14.630153,-14.708551,-14.792655,-14.881191,-14.972785,-15.0662155,-15.160561,-15.25508,-15.348841,-15.440339,-15.527489,-15.608189,-15.681243,-15.747133,-15.808184,-15.868085,-15.931016,-16.000805,-16.080399,-16.171722,-16.275724,-16.392372,Shaft
-14.751028,-14.756137,-14.762162,-14.769229,-14.77746,-14.786974,-14.797872,-14.8102255,-14.824074,-14.839415,-14.85621,-14.874412,-14.894004,-14.915068,-14.937851,-14.96283,-14.99073,-15.022503,-15.059256,-15.102184,-15.152525,-15.211546,-15.280553,-15.36088,-15.453837,-15.5606165,-15.68213,-15.818814,-15.970416,-16.135792,-16.312798,-16.498346,Spine
-14.671795,-14.679008,-14.687548,-14.697608,-14.709389,-14.723086,-14.73888,-14.756914,-14.777278,-14.799991,-14.824991,-14.852152,-14.8813095,-14.912339,-14.945241,-14.980226,-15.017748,-15.058459,-15.103076,-15.152208,-15.206222,-15.265211,-15.329084,-15.397731,-15.471226,-15.549983,-15.634808,-15.726783,-15.827006,-15.936247,-16.05461,-16.181236,Spine
-14.683267,-14.700114,-14.72026,-14.744271,-14.772784,-14.806488,-14.8461075,-14.892374,-14.945977,-15.007505,-15.077373,-15.155742,-15.242474,-15.337118,-15.438975,-15.547226,-15.6611,-15.779999,-15.90351,-16.03129,-16.162882,-16.297539,-16.434156,-16.571302,-16.707354,-16.840672,-16.9698,-17.09361,-17.211342,-17.322613,-17.427519,-17.52675,Shaft
-14.043282,-14.057853,-14.0750475,-14.095217,-14.118697,-14.145782,-14.176681,-14.211456,-14.249969,-14.291823,-14.336354,-14.38267,-14.4298115,-14.477012,-14.524012,-14.571329,-14.620335,-14.673085,-14.731993,-14.799488,-14.877837,-14.969129,-15.075332,-15.198335,-15.3398695,-15.50132,-15.683336,-15.885183,-16.103777,-16.332588,-16.56117,-16.776695,Spine
